                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.79079,                 2.0064,                 1.0678,                0.84655,                0.35556,                0.40338,                0.26349,                 0.7468,                 39.161,                0.92481,              0.0011178,              0.0011178,              0.0011178
                     25,                0.74153,                 1.6104,                 1.0495,                0.74241,                0.50103,                0.47355,                0.33204,                0.62005,                 31.795,                0.79981,              0.0011036,              0.0011036,              0.0011036
                     26,                0.75855,                 1.9597,                 1.0677,                0.77855,                0.56899,                 0.5101,                0.36031,                0.57079,                 46.291,                0.77378,              0.0010895,              0.0010895,              0.0010895
                     27,                0.91216,                 1.4602,                 1.2647,                 0.8485,                0.55702,                 0.5786,                 0.4447,                0.50713,                 36.075,                0.74385,              0.0010753,              0.0010753,              0.0010753
                     28,                0.84065,                 1.3761,                 1.2266,                0.84083,                0.49318,                 0.5455,                 0.4297,                0.48412,                 38.108,                0.73634,              0.0010612,              0.0010612,              0.0010612
                     29,                0.84893,                 1.3326,                 1.2773,                0.77856,                 0.4873,                 0.5341,                0.41515,                0.48946,                 46.956,                0.74841,               0.001047,               0.001047,               0.001047
                     30,                0.77734,                  1.174,                 1.1215,                0.80997,                0.50142,                0.52841,                0.41497,                0.46188,                 31.915,                0.67221,              0.0010329,              0.0010329,              0.0010329
                     31,                0.95189,                 1.3446,                 1.3896,                0.83358,                0.51523,                 0.5596,                0.40518,                0.51176,                 39.855,                 0.7234,              0.0010187,              0.0010187,              0.0010187
                     32,                0.74891,                  1.305,                 1.1321,                0.78135,                0.51083,                0.53092,                0.40894,                0.44279,                  57.73,                0.66162,              0.0010046,              0.0010046,              0.0010046
                     33,                0.71877,                 1.3309,                 1.0871,                0.82974,                0.50549,                0.56768,                0.46007,                0.40459,                 38.737,                0.63696,             0.00099044,             0.00099044,             0.00099044
                     34,                0.70655,                 1.4448,                 1.0223,                0.89684,                0.44029,                0.74321,                0.49542,                0.46129,                 20.133,                0.68545,             0.00097629,             0.00097629,             0.00097629
                     35,                0.75603,                 1.1316,                 1.1361,                0.86753,                0.51691,                0.90651,                0.55893,                0.45428,                 19.656,                0.68893,             0.00096215,             0.00096215,             0.00096215
                     36,                0.64834,                 1.7997,                 1.0095,                0.84356,                0.51272,                0.69557,                0.53989,                0.47134,                 17.141,                0.69113,               0.000948,               0.000948,               0.000948
                     37,                0.67144,                 1.5147,                 1.0369,                0.85391,                0.46641,                0.55748,                0.42241,                0.47318,                 17.703,                0.68542,             0.00093385,             0.00093385,             0.00093385
                     38,                0.66736,                 1.8037,                0.99968,                 0.8399,                0.59968,                 0.6595,                0.52517,                  0.424,                 17.868,                0.63912,              0.0009197,              0.0009197,              0.0009197
                     39,                0.71105,                 1.1193,                 1.1339,                0.85129,                0.58151,                0.95163,                0.76617,                0.38488,                 17.232,                0.60528,             0.00090556,             0.00090556,             0.00090556
                     40,                0.78388,                  1.386,                 1.1626,                 0.9193,                0.59346,                0.69315,                0.57288,                0.39043,                 15.772,                0.62327,             0.00089141,             0.00089141,             0.00089141
                     41,                0.72985,                 1.0822,                 1.1504,                0.89416,                0.58135,                0.62916,                0.52031,                0.39968,                 15.701,                  0.627,             0.00087726,             0.00087726,             0.00087726
                     42,                0.58959,                 1.8225,                0.97057,                 0.9017,                0.57863,                0.63338,                0.52012,                0.38442,                 12.539,                0.60117,             0.00086312,             0.00086312,             0.00086312
                     43,                 0.6894,                 1.0171,                 1.1015,                0.93456,                0.58603,                0.63144,                0.51931,                0.39292,                 10.415,                0.60797,             0.00084897,             0.00084897,             0.00084897
                     44,                0.60202,                  1.206,                0.94627,                0.91693,                0.57168,                0.62642,                0.52151,                0.37536,                 20.886,                0.61357,             0.00083482,             0.00083482,             0.00083482
                     45,                0.58694,                  1.426,                0.95271,                0.86162,                0.62062,                0.63436,                0.53869,                 0.3555,                 27.985,                0.59086,             0.00082067,             0.00082067,             0.00082067
                     46,                0.66872,                 1.0842,                 1.1081,                0.91792,                0.59548,                0.64021,                  0.544,                0.37694,                 22.262,                0.60236,             0.00080653,             0.00080653,             0.00080653
                     47,                 0.7243,                  1.057,                 1.0795,                0.91129,                0.60566,                0.64226,                0.56435,                 0.3392,                 26.244,                0.58212,             0.00079238,             0.00079238,             0.00079238
                     48,                0.71496,                 1.0154,                 1.0969,                0.84589,                0.61367,                0.64215,                0.56424,                0.33999,                 38.342,                0.57988,             0.00077823,             0.00077823,             0.00077823
                     49,                0.59691,                 1.1535,                0.96413,                0.90278,                0.62307,                0.65005,                  0.559,                0.34728,                 20.525,                0.58672,             0.00076409,             0.00076409,             0.00076409
                     50,                0.56664,                  1.406,                0.97814,                0.93648,                0.60645,                0.65238,                0.55124,                0.35736,                 19.575,                0.58314,             0.00074994,             0.00074994,             0.00074994
                     51,                0.57233,                0.87102,                 1.0398,                0.91414,                0.62714,                0.69049,                0.57361,                0.34372,                 25.737,                0.57352,             0.00073579,             0.00073579,             0.00073579
                     52,                 0.6141,                 1.9759,                0.96705,                0.91648,                0.55512,                 0.9524,                0.70987,                0.34751,                 21.925,                0.56902,             0.00072164,             0.00072164,             0.00072164
                     53,                 0.6386,                 1.1025,                 1.0328,                0.91592,                0.58969,                0.96458,                0.74522,                  0.363,                 15.951,                0.57953,              0.0007075,              0.0007075,              0.0007075
                     54,                0.79721,                 1.0994,                 1.2415,                0.88265,                 0.6092,                0.95785,                 0.6994,                0.36273,                 30.524,                0.59292,             0.00069335,             0.00069335,             0.00069335
                     55,                0.56846,                 1.1737,                0.98485,                0.83791,                0.60317,                0.96431,                0.69919,                0.36939,                 43.135,                 0.6025,              0.0006792,              0.0006792,              0.0006792
                     56,                0.73051,                 1.3135,                 1.0644,                0.86606,                0.60993,                0.96794,                0.72616,                0.33674,                 52.254,                0.57346,             0.00066506,             0.00066506,             0.00066506
                     57,                0.60504,                0.78748,                  1.061,                0.95029,                0.60858,                0.98277,                0.75225,                0.34648,                 18.322,                0.58271,             0.00065091,             0.00065091,             0.00065091
                     58,                0.67663,                 1.0106,                 1.0989,                0.96796,                 0.6149,                0.82016,                0.68158,                0.34772,                 9.0524,                0.58201,             0.00063676,             0.00063676,             0.00063676
                     59,                0.62743,                0.77964,                 1.0735,                0.95639,                0.60845,                 0.8146,                0.67158,                0.31739,                 12.014,                 0.5644,             0.00062262,             0.00062262,             0.00062262
                     60,                0.53199,                0.92294,                0.92852,                0.92598,                0.63736,                0.80653,                0.66709,                0.30854,                 11.249,                0.55613,             0.00060847,             0.00060847,             0.00060847
                     61,                0.51393,                 1.0488,                0.94624,                0.94307,                0.64462,                0.80701,                0.66604,                0.31429,                 9.4899,                0.55872,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.5058,                 1.0185,                0.92131,                 0.9593,                0.64011,                0.81489,                0.66395,                0.32647,                 15.012,                0.56266,             0.00058017,             0.00058017,             0.00058017
                     63,                0.61573,                0.77319,                 1.0426,                 0.9542,                0.64011,                0.81876,                0.68088,                0.32158,                 15.478,                0.55865,             0.00056603,             0.00056603,             0.00056603
                     64,                0.55625,                 1.0964,                0.91399,                0.93308,                0.66216,                0.81402,                0.67745,                0.32369,                 15.291,                0.56136,             0.00055188,             0.00055188,             0.00055188
                     65,                0.56783,                 1.6805,                 0.9658,                0.92816,                0.65829,                0.80112,                0.65809,                0.32972,                 15.002,                0.56817,             0.00053773,             0.00053773,             0.00053773
                     66,                0.52272,                 1.1139,                0.94612,                 0.9159,                0.64462,                0.79937,                0.68062,                0.33203,                 18.824,                0.57587,             0.00052359,             0.00052359,             0.00052359
                     67,                0.57827,                0.74436,                 1.0406,                0.92247,                 0.6428,                0.98314,                0.80561,                0.31867,                 19.207,                0.56617,             0.00050944,             0.00050944,             0.00050944
                     68,                0.56276,                0.75603,                0.98618,                0.93263,                 0.6266,                0.98478,                 0.8019,                0.33045,                 18.222,                0.56545,             0.00049529,             0.00049529,             0.00049529
                     69,                0.59054,                0.79483,                 1.0243,                0.92798,                0.64146,                0.98614,                0.81967,                0.33244,                 19.941,                0.56748,             0.00048114,             0.00048114,             0.00048114
                     70,                0.57927,                0.78401,                 1.0392,                 0.9283,                0.64146,                0.98788,                0.82702,                0.32923,                 17.913,                0.56012,               0.000467,               0.000467,               0.000467
                     71,                0.79865,                 1.0678,                 1.0866,                0.97071,                0.63782,                0.99166,                0.84263,                0.30793,                 6.8863,                0.54312,             0.00045285,             0.00045285,             0.00045285
                     72,                 0.5988,                  0.777,                 1.0535,                0.99025,                0.63561,                0.99177,                0.81831,                0.29057,                  3.776,                0.53402,              0.0004387,              0.0004387,              0.0004387
                     73,                0.58696,                0.71561,                 1.0372,                0.98483,                 0.6362,                0.99083,                0.81008,                0.29801,                 3.3974,                0.53839,             0.00042456,             0.00042456,             0.00042456
                     74,                0.49599,                0.93095,                0.93673,                0.96845,                0.65121,                 0.8233,                0.70397,                0.30114,                 4.3218,                0.53959,             0.00041041,             0.00041041,             0.00041041
                     75,                0.51384,                 0.6703,                 1.0243,                0.97136,                0.64578,                0.82393,                0.71237,                0.30983,                 4.1162,                0.54632,             0.00039626,             0.00039626,             0.00039626
                     76,                0.51576,                0.90881,                0.92533,                0.95059,                0.62822,                0.98886,                0.78375,                0.29725,                 4.4794,                0.53591,             0.00038211,             0.00038211,             0.00038211
                     77,                0.49405,                0.61905,                0.99252,                0.97976,                0.61254,                0.99045,                0.75772,                0.28753,                 5.2425,                  0.531,             0.00036797,             0.00036797,             0.00036797
                     78,                0.53627,                0.68564,                 0.9807,                0.98253,                0.64139,                0.99238,                0.71277,                0.27734,                 5.3091,                0.52389,             0.00035382,             0.00035382,             0.00035382
                     79,                 0.5319,                0.66787,                0.98423,                0.98404,                0.63554,                0.99154,                0.68496,                0.27118,                 8.6153,                0.52161,             0.00033967,             0.00033967,             0.00033967
                     80,                0.53562,                  0.906,                 1.0278,                0.96908,                0.63926,                 0.9903,                0.71477,                0.26664,                 7.4311,                0.51949,             0.00032553,             0.00032553,             0.00032553
                     81,                0.47874,                 0.8358,                0.90982,                0.88175,                0.65255,                0.99074,                0.74526,                0.26801,                 4.1583,                0.52041,             0.00031138,             0.00031138,             0.00031138
                     82,                0.49914,                   0.61,                 1.0543,                0.67442,                 0.9793,                0.98934,                 0.7758,                0.27304,                 3.5774,                0.52201,             0.00029723,             0.00029723,             0.00029723
                     83,                0.48505,                0.59265,                0.96526,                0.68141,                 0.9955,                0.99104,                0.81878,                 0.2719,                 3.6546,                0.51845,             0.00028308,             0.00028308,             0.00028308
                     84,                0.45352,                0.87684,                0.88799,                0.58639,                      1,                0.99228,                0.78368,                0.26883,                 5.7317,                0.51812,             0.00026894,             0.00026894,             0.00026894
                     85,                0.47239,                0.62932,                0.96454,                0.56601,                      1,                 0.9909,                0.76456,                0.25804,                 7.6358,                0.51585,             0.00025479,             0.00025479,             0.00025479
                     86,                0.49876,                0.64252,                 1.0357,                0.62888,                      1,                0.98997,                0.75144,                0.25868,                 6.2324,                0.52049,             0.00024064,             0.00024064,             0.00024064
                     87,                0.55399,                0.58507,                 1.0655,                0.72173,                      1,                0.99173,                0.79071,                 0.2604,                 4.6599,                0.52039,              0.0002265,              0.0002265,              0.0002265
                     88,                0.47044,                0.53712,                 0.9742,                0.78847,                      1,                0.99235,                0.80167,                0.25714,                 3.8295,                0.51605,             0.00021235,             0.00021235,             0.00021235
                     89,                0.41345,                0.80426,                0.88739,                0.81118,                      1,                0.99299,                0.79958,                0.25196,                 3.5751,                0.51136,              0.0001982,              0.0001982,              0.0001982
                     90,                0.47894,                0.64981,                0.95721,                0.83041,                      1,                0.99306,                0.83747,                0.25137,                 3.4145,                0.50877,             0.00018406,             0.00018406,             0.00018406
                     91,                0.43047,                0.69019,                0.85877,                0.83773,                      1,                0.99303,                0.83507,                0.24573,                 3.1992,                0.50579,             0.00016991,             0.00016991,             0.00016991
                     92,                0.39495,                0.64413,                0.83101,                0.85441,                      1,                0.99345,                0.83995,                0.24448,                 3.4423,                 0.5033,             0.00015576,             0.00015576,             0.00015576
                     93,                0.40656,                  1.084,                0.82608,                0.86386,                      1,                 0.9932,                 0.8482,                0.24697,                 3.6385,                0.50455,             0.00014161,             0.00014161,             0.00014161
                     94,                0.37114,                0.70147,                0.83316,                0.85931,                      1,                0.99355,                0.86396,                0.24275,                 3.9346,                 0.5029,             0.00012747,             0.00012747,             0.00012747
                     95,                0.46023,                0.82239,                0.91621,                0.85738,                      1,                0.99382,                0.86437,                0.23904,                  4.059,                 0.5022,             0.00011332,             0.00011332,             0.00011332
                     96,                 0.3793,                 0.5863,                 0.8092,                0.85406,                      1,                0.99416,                 0.8635,                0.23391,                 4.2542,                0.50125,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.37132,                0.72289,                0.79179,                0.85069,                      1,                0.99401,                0.86178,                0.23372,                 4.3704,                0.50181,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.40536,                0.64747,                0.83141,                0.85022,                      1,                0.99397,                0.88831,                0.23532,                  4.926,                0.50155,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.34628,                 0.5394,                0.80092,                0.86048,                      1,                0.99389,                0.88645,                0.23331,                 4.8631,                0.50057,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                 0.3561,                0.52307,                0.81231,                0.88452,                      1,                0.99405,                0.85359,                0.22766,                 4.4264,                0.49767,             4.2584e-05,             4.2584e-05,             4.2584e-05
