                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.065,                 4.0223,                 1.4745,                 0.0026,                0.66983,                0.06181,                0.03687,                0.52237,                 68.561,                0.81803,             0.00012861,             0.00012861,             0.00012861
                      2,                 1.0651,                 3.2572,                 1.3467,                0.00419,                0.66848,                0.12564,                0.09494,                0.49445,                 68.531,                0.71467,             0.00026882,             0.00026882,             0.00026882
                      3,                0.87057,                 2.7945,                 1.2951,                0.00386,                0.66398,                0.13584,                0.09464,                0.51962,                 69.881,                0.74446,              0.0004062,              0.0004062,              0.0004062
                      4,                0.94532,                 2.5611,                 1.2871,                0.89881,                0.08055,                0.19272,                0.13802,                0.57244,                 68.338,                0.79392,             0.00054076,             0.00054076,             0.00054076
                      5,                0.92409,                 2.5535,                 1.3554,                0.86047,                0.20308,                0.24039,                0.17212,                0.56466,                 69.026,                0.77438,             0.00067248,             0.00067248,             0.00067248
                      6,                0.91001,                  2.203,                 1.2008,                0.83029,                0.21053,                0.28156,                0.14904,                0.67118,                 78.068,                0.89112,             0.00080138,             0.00080138,             0.00080138
                      7,                 0.9308,                 2.0716,                 1.2199,                0.87321,                0.11437,                0.19938,                0.11636,                0.68954,                 62.292,                0.95156,             0.00092744,             0.00092744,             0.00092744
                      8,                0.78705,                 3.2191,                 1.0657,                0.84026,                0.25146,                0.28657,                0.16847,                0.64794,                     90,                0.88722,              0.0010507,              0.0010507,              0.0010507
                      9,                0.96251,                 2.7264,                 1.1871,                0.60794,                0.43362,                0.32291,                0.18222,                 0.7155,                 82.735,                0.95595,              0.0011711,              0.0011711,              0.0011711
                     10,                 1.0717,                 2.4836,                 1.3812,                0.65519,                  0.373,                0.37636,                0.22328,                0.67228,                 81.853,                0.95004,              0.0012887,              0.0012887,              0.0012887
                     11,                0.97964,                 1.9462,                 1.3118,                0.56353,                0.47345,                0.35087,                0.22441,                0.62099,                 167.43,                0.88614,              0.0012875,              0.0012875,              0.0012875
                     12,                0.85415,                  2.596,                 1.1543,                0.55889,                0.49891,                0.33129,                0.19715,                0.76541,                 141.89,                 1.1229,              0.0012875,              0.0012875,              0.0012875
                     13,                0.81832,                 2.8482,                 1.0536,                0.70423,                0.25047,                0.28156,                0.16128,                0.74324,                 79.888,                0.95834,              0.0012734,              0.0012734,              0.0012734
                     14,                0.88024,                 1.7928,                 1.2263,                0.62725,                0.34693,                0.25018,                0.14732,                0.68388,                 120.17,                0.93399,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.0883,                 2.0212,                 1.3829,                0.65882,                0.36768,                0.30962,                0.19711,                0.66314,                 147.06,                 0.9185,              0.0012451,              0.0012451,              0.0012451
                     16,                0.85841,                 1.9252,                 1.1801,                0.58261,                0.40268,                  0.306,                0.15946,                0.83848,                 66.159,                 1.2228,              0.0012309,              0.0012309,              0.0012309
                     17,                0.85984,                 1.7518,                 1.1806,                0.58984,                0.42525,                0.30751,                0.16703,                0.90229,                  55.91,                 1.2038,              0.0012168,              0.0012168,              0.0012168
                     18,                0.86323,                 1.6776,                 1.2221,                 0.6104,                0.54744,                0.41161,                 0.2438,                0.74043,                 116.88,                 1.0346,              0.0012026,              0.0012026,              0.0012026
                     19,                0.96992,                 1.6352,                 1.2628,                0.65429,                0.53869,                0.45134,                0.30687,                0.59864,                 114.69,                0.83592,              0.0011885,              0.0011885,              0.0011885
                     20,                0.90667,                 1.6858,                 1.2584,                0.73905,                 0.4613,                0.47978,                0.31058,                0.65953,                 80.232,                0.97751,              0.0011744,              0.0011744,              0.0011744
                     21,                0.92203,                  1.857,                  1.293,                0.75617,                0.50727,                0.49704,                0.34214,                0.56361,                 92.382,                0.80009,              0.0011602,              0.0011602,              0.0011602
                     22,                0.82687,                 1.4168,                 1.1834,                0.71792,                0.51924,                0.52706,                0.31552,                0.66187,                 100.11,                0.92177,              0.0011461,              0.0011461,              0.0011461
                     23,                0.80488,                 1.9459,                 1.1141,                0.78239,                0.48254,                  0.484,                0.27783,                 0.7586,                  50.89,                 1.0311,              0.0011319,              0.0011319,              0.0011319
