                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.49977,                0.68725,                0.99314,                0.83944,                      1,                0.99276,                0.84241,                0.25655,                 9.1096,                0.51007,             0.00012861,             0.00012861,             0.00012861
                      2,                0.49877,                0.56234,                  0.962,                0.86486,                0.99415,                0.98634,                0.82021,                0.27294,                 14.842,                0.51963,             0.00026882,             0.00026882,             0.00026882
                      3,                0.57633,                0.64443,                 1.0898,                0.92796,                0.97795,                0.99112,                0.78378,                0.26875,                  4.013,                0.52178,              0.0004062,              0.0004062,              0.0004062
                      4,                0.60067,                0.60795,                 1.0724,                 0.9313,                0.95409,                0.98658,                0.73607,                0.30431,                   3.24,                0.53647,             0.00054076,             0.00054076,             0.00054076
                      5,                0.55661,                0.78243,                 1.0653,                0.95902,                0.92179,                0.95317,                0.71491,                0.37599,                 3.1149,                 0.5875,             0.00067248,             0.00067248,             0.00067248
                      6,                0.64107,                0.70991,                 1.0347,                0.98171,                0.61547,                0.98477,                0.82858,                0.33008,                 5.4046,                0.56242,             0.00080138,             0.00080138,             0.00080138
                      7,                0.65718,                0.74359,                 1.0596,                0.96621,                0.61049,                0.98215,                0.79763,                0.32663,                  7.039,                0.55553,             0.00092744,             0.00092744,             0.00092744
                      8,                0.52938,                 1.3774,                 0.8976,                0.90625,                0.62754,                0.67334,                0.56956,                 0.3666,                 13.141,                0.59582,              0.0010507,              0.0010507,              0.0010507
                      9,                0.59872,                0.82711,                0.94455,                0.84555,                0.61441,                0.62512,                0.52461,                0.38331,                 19.469,                0.62607,              0.0011711,              0.0011711,              0.0011711
                     10,                0.99264,                0.99741,                 1.2621,                0.83497,                0.57374,                 0.9298,                 0.6307,                0.38715,                 16.668,                0.62573,              0.0012887,              0.0012887,              0.0012887
                     11,                0.63712,                  0.718,                  1.064,                0.75263,                0.59806,                0.91863,                0.55567,                 0.3916,                 7.4881,                0.61536,              0.0012875,              0.0012875,              0.0012875
                     12,                0.55825,                0.78387,                 0.9525,                0.77833,                0.98144,                0.95859,                0.58826,                0.37247,                 5.8668,                0.59817,              0.0012875,              0.0012875,              0.0012875
                     13,                0.60906,                0.92732,                0.92923,                0.90574,                0.59702,                0.96322,                0.55689,                0.45212,                 15.745,                0.66556,              0.0012734,              0.0012734,              0.0012734
                     14,                0.61752,                0.77328,                 1.0467,                0.84009,                0.61759,                0.61121,                0.46881,                0.49974,                  37.96,                0.73899,              0.0012592,              0.0012592,              0.0012592
                     15,                 0.7866,                0.99222,                 1.2165,                 0.8958,                0.58252,                0.94552,                0.59567,                0.43866,                 18.783,                0.65865,              0.0012451,              0.0012451,              0.0012451
                     16,                0.65612,                0.86176,                 1.0705,                0.84416,                 0.5614,                0.89908,                0.60239,                0.45358,                 7.5732,                0.68827,              0.0012309,              0.0012309,              0.0012309
                     17,                0.61016,                0.74348,                 1.0276,                0.91464,                0.57346,                0.95468,                0.67141,                0.36714,                 14.633,                0.61055,              0.0012168,              0.0012168,              0.0012168
                     18,                0.64036,                0.81988,                 1.0703,                0.84147,                0.59939,                0.77094,                0.59129,                0.38252,                 28.209,                0.61753,              0.0012026,              0.0012026,              0.0012026
                     19,                0.64941,                0.81431,                 1.0377,                0.86468,                0.62516,                0.94982,                0.68281,                0.36918,                 27.669,                0.59716,              0.0011885,              0.0011885,              0.0011885
                     20,                0.69406,                0.84317,                 1.1061,                0.86117,                 0.6383,                0.96476,                0.62544,                0.37251,                  29.28,                0.60469,              0.0011744,              0.0011744,              0.0011744
                     21,                0.72287,                0.95356,                 1.1542,                0.91552,                0.59689,                0.79124,                 0.5864,                0.35229,                 29.818,                0.59715,              0.0011602,              0.0011602,              0.0011602
                     22,                0.68758,                0.81307,                 1.0725,                0.76548,                0.60475,                0.86484,                0.57809,                0.44147,                 54.956,                0.68503,              0.0011461,              0.0011461,              0.0011461
